	GSM461176_untreat_single_featureCounts.counts	GSM461177_untreat_paired_featureCounts.counts	GSM461178_untreat_paired_featureCounts.counts	GSM461182_untreat_single_featureCounts.counts	GSM461181_treat_paired_featureCounts.counts	GSM461180_treat_paired_featureCounts.counts	GSM461179_treat_single_featureCounts.counts
FBgn0037678	16.5317654546492	24.8889923287643	7.59804326543983	15.0000600397835	61.5783057994392	74.7103107277373	39.8568513695387
FBgn0265276	93.1790416534776	77.7781010273883	57.7451288173427	60.0002401591339	227.839731457925	237.578788114205	304.695140075026
FBgn0039827	383.737343583676	497.779846575285	469.559073804181	425.835037796075	34.483851247686	17.9304745746569	26.2216127431176
FBgn0039109	586.126229755746	631.558180342393	585.049331438867	663.33598842598	261.092016589622	224.130932183212	240.714404981819
FBgn0063649	765.470836809213	840.003491095794	679.26506793032	815.836598830446	317.744057925106	339.184810703927	330.916752818144
FBgn0026562	51848.1251290858	76933.4308502309	86742.3011355672	52358.5429055331	15635.9634085936	14360.8159280857	9200.6394793051
FBgn0038149	670.287944797597	668.891668835539	737.010196747663	674.16936512138	1641.67763261305	1406.04804789602	1328.9113338212
FBgn0037223	45.5875956476691	34.2223644520509	30.3921730617593	37.5001500994587	9.85252892791027	7.47103107277373	6.29318705834822
FBgn0037290	15.5298402755796	15.5556202054777	12.1568692247037	26.6667734040595	128.082876062834	129.995940666263	159.427405478155
FBgn0039593	22.0423539395323	10.8889341438344	27.3529557555834	20.0000800530446	80.051797539271	61.2624547967446	77.615973719628
FBgn0261552	11240.0976213929	8994.25960280718	7250.05288388268	7342.52938947401	1970.50578558205	2123.26703088229	3328.04708935648
FBgn0038198	23.044279118602	29.5556783904076	10.6372605716158	29.1667834106901	136.703838874755	107.582847447942	98.0688316592598
FBgn0002868	206.396586888348	113.556027499987	138.284387431005	214.167523901353	35.7154173636747	29.8841242910949	44.5767416632999
FBgn0039479	92.1771164744079	110.444903458891	104.85299706307	74.1669635300405	290.649603373353	298.841242910949	238.61667596237
FBgn0037754	361.194027054609	290.890097842432	270.490340249658	410.001641087415	62.809871915428	76.204516942292	57.1631157799963
FBgn0039257	823.081534605718	714.002967431425	653.431720827825	760.836378684573	357.154173636747	325.736954772934	342.978694679978
FBgn0038528	81.1559395046418	94.8892832534137	95.7353451445418	96.6670535897157	247.544789313746	200.223632750336	274.27806929301
FBgn0024288	101.69540567557	112.000465479439	103.333388409982	82.5003302188091	3.69469834796635	4.48261864366424	4.19545803889881
FBgn0039419	2478.76289301832	2425.12119003397	2218.62863350843	2405.00962637862	1043.1365002425	996.635545108015	1117.56513511167
FBgn0039155	1225.35449400218	1154.22701924644	1273.43205128772	1340.00536355399	65.2730041474056	50.8030112948613	42.4790126438505
FBgn0039640	114.21947041394	107.333779417796	113.970648981597	77.5003102055479	25.8628884357645	35.8609491493139	32.5147998014658
FBgn0051092	60.1155107441791	60.6669188013629	51.6666942049908	62.5002501657645	299.270566185275	307.806480198278	247.53202429503
FBgn0037646	80.1540143255721	51.3335466780763	66.8627807358705	56.6668934836265	12.3156611598878	8.96523728732847	7.34205156807292
FBgn0000071	92.1771164744079	110.444903458891	118.529474940861	69.1669435167794	720.466177853439	633.543434971212	510.272583981068
FBgn0038832	419.305687440649	384.223819075298	414.853162293015	605.835758273477	77.5886653072934	64.2508672258541	65.0295996029316
FBgn0263041	108.708881929057	118.22271356163	173.235386452028	221.667553921245	45.567946291585	47.8145988657519	51.9187932313728
FBgn0039485	37.0712316255771	28.0001163698598	37.9902163271991	35.833476761705	83.7464958872373	101.606022589723	97.019967149535
FBgn0023479	4842.80535303316	4686.90836791042	4171.32575272646	3509.18071264046	1391.66971106733	1582.36438121348	1505.64500370981
FBgn0052407	307.090067384848	255.112171369834	270.490340249658	324.167964193098	61.5783057994392	50.8030112948613	80.7625672488022
FBgn0035189	61.1174359232487	73.111414965745	45.588259592639	31.6667934173207	405.18525216031	499.064875661285	339.307668895942
FBgn0035727	37.5721942151119	35.7779264725986	31.9117817148473	35.0001400928281	114.535648786957	125.513322022599	94.3978058752233
FBgn0263232	195.876372508117	182.000756404089	151.960865308797	234.167603954398	354.69104140477	409.412502788	582.644235152073
FBgn0035344	105.703106391848	119.778275582178	104.85299706307	100.000400265223	34.483851247686	43.3319802220876	29.892638527154
FBgn0037153	77.1482387883631	73.111414965745	57.7451288173427	57.5002301525033	192.12431409425	207.69466382311	252.251914588791
FBgn0036985	3357.95223765194	2565.12177188327	2408.57971514442	1949.17446850297	998.800120066904	1059.39220611931	988.554800415533
FBgn0040827	371.714241434841	304.890156027362	275.049166208922	305.001220808931	81.2833636552597	62.7566610112993	95.9711026398104
FBgn0001225	210.404287604627	241.112113184904	287.206035433625	238.334287298782	737.708103477282	597.682485821898	547.507274076295
FBgn0000567	344.66226159996	401.335001301324	303.921730617593	303.334547471177	124.388177714867	140.455384168146	159.427405478155
FBgn0001224	311.097768101127	292.44565986298	402.696293068311	311.667914159946	1049.29433082244	862.156985798088	853.251278661046
FBgn0000116	347.167074547634	455.779672020495	382.941380578167	405.834957743031	1066.53625644629	1192.37655921469	651.869292793903
FBgn0001226	599.652219673186	577.113509623221	764.363152503247	469.168544577672	2133.07251289257	1912.58395463007	1862.78336927107
FBgn0020248	15.5298402755796	17.1111822260254	13.6764778777917	15.0000600397835	68.9677024953719	61.2624547967446	59.7852770543081
FBgn0016715	244.469743692995	192.889690547923	221.862863350843	179.167383808525	40.6416818276299	46.3203926511971	43.5278771535752
FBgn0029167	5290.16494548776	5853.57988332124	5382.45384923757	5504.18869793166	1121.95673166578	1293.98258180441	1200.42543137992
FBgn0035147	20038.503581393	26008.9969835586	29574.623606398	25754.2697516393	13254.1145402713	12871.0923321746	9052.74958343391
FBgn0264475	962.3491344964	869.559169486201	977.108363935562	1236.67161661326	178.577086818374	150.914827670029	181.453560182374
FBgn0267635	116.724283361614	98.0004072945093	107.892214369246	140.000560371312	195.819012442217	225.625138397767	351.894043012638
FBgn0262733	191.367709202303	177.334070342445	136.764778777917	124.167163662652	578.836074514729	626.072403898438	762.524498569859
FBgn0283437	3464.65726922285	3531.12578664343	3662.256853942	2118.34181228498	8561.84763835403	10445.9956459522	8655.22993424825
FBgn0033775	19.0365784023234	15.5556202054777	21.2745211432315	23.3334267285521	77.5886653072934	77.6987231568468	89.1534833265998
FBgn0034736	368.207503308097	421.557307568445	352.549207516408	315.001260835453	33.2522851316972	38.8493615784234	26.7460449979799
FBgn0265512	130.751235868589	119.778275582178	107.892214369246	39.1668234372124	22.1681900877981	22.4130932183212	29.892638527154
FBgn0034389	199.383110634861	199.111938630114	148.921648002621	132.500530351421	44.3363801755962	32.8725367202044	47.1989029376116
FBgn0003748	764.969874219679	687.558413082113	686.86311119576	800.836538790662	1511.13162431824	1562.93970042426	1560.1859582155
FBgn0264753	171.830168210445	203.778624691757	208.186385473051	163.333987099864	22.1681900877981	13.4478559309927	22.0261547042188
FBgn0034718	319.614132123219	323.556900273935	364.706076741112	151.667273735588	796.823277044743	771.010406710249	691.201711908579
FBgn0033913	6535.55794307133	6804.02827787593	6257.74843341624	7270.02909928172	3141.72516188739	3146.79828785229	2670.93347401396
FBgn0261584	235.452417081368	220.889806917783	221.862863350843	390.00156103437	48.0310785235626	65.7450734404088	62.9318705834822
FBgn0011260	83.159789862781	76.2225390068405	75.9804326543983	75.0003001989174	312.817793461151	339.184810703927	410.630455557221
FBgn0034010	730.904418131311	707.780719349234	799.31415152427	646.669255048443	266.018281053577	252.520850259752	277.949095077046
FBgn0040091	1352.09802915449	1378.22795020532	1705.0009087647	1652.50661438281	504.942107555401	540.902649668818	502.930532412995
FBgn0035085	854.642177746412	1043.78211578755	1095.63783887642	1010.00404267875	185.966483514306	176.31633331746	144.218870087147
FBgn0034391	41.0789323418557	45.1112985958852	33.4313903679352	25.8334367351827	108.377818207013	104.594435018832	103.837586462746
FBgn0050463	17.0327280441841	14.0000581849299	13.6764778777917	13.3333867020298	56.6520413354841	85.1697542296205	102.264289698159
FBgn0033635	1364.62209389286	2098.45316571894	2042.35402975023	1093.33770956644	3785.83424054952	3837.12155897659	3666.83032599756
FBgn0261596	22868.4412496753	19811.6378936963	24044.7677178109	18851.7421233323	10866.107841369	10502.7754821053	9114.10815725281
FBgn0034885	64.6241740499925	110.444903458891	79.0196499605742	87.5003502320703	295.575867837308	271.945531048964	220.78597929705
FBgn0033367	9663.06738953725	9782.9295472249	9537.06390678007	5362.52146422259	24319.7360924305	29234.1445877636	17828.5989363005
FBgn0034438	37.0712316255771	32.6668024315031	37.9902163271991	32.5001300861975	104.683119859047	128.501734451708	142.121141067697
FBgn0000079	110.211769697662	286.223411780789	261.37268833113	148.333927060081	141.63010333871	129.995940666263	35.1369610757776
FBgn0261673	12.5240647383706	20.222306267121	10.6372605716158	12.5000500331529	125.619743830856	129.995940666263	137.401250773936
FBgn0063498	408.785473060418	429.335117671183	420.931596905366	519.168744710284	172.41925623843	134.478559309927	196.13766331852
FBgn0024315	135.259899174403	143.111705890394	133.725561471741	141.667233709066	30.7891528997196	26.8957118619854	25.6971804882552
FBgn0033724	61.6183985127835	73.111414965745	117.009866287773	99.1670635963463	275.870809981488	225.625138397767	212.395063219252
FBgn0033782	232.947604133694	236.44542712326	229.460906616283	146.667253722327	108.377818207013	76.204516942292	72.8960834258669
FBgn0033065	8.51636402209203	7.77781010273883	10.6372605716158	2.50001000663058	55.4204752194953	67.2392796549636	56.1142512702716
FBgn0025111	363.197877412749	457.335234041043	420.931596905366	387.50155102774	3289.51309580604	3181.16503078705	2456.96511403012
FBgn0024984	62.1193611023184	66.8891668835539	69.9019980420464	68.3336068479025	204.439975254138	204.706251394	147.365463616321
FBgn0003360	7270.97102450846	6054.24738397191	6722.74868126116	8378.36686888795	773.423520840956	805.377149645008	744.169369649677
FBgn0030598	18.0346532232537	9.3333721232866	13.6764778777917	18.3334067152909	59.1151735674616	76.204516942292	69.2250576418304
FBgn0085359	127.745460331381	71.5558529451972	121.568692247037	145.83391705345	1.23156611598878	2.98841242910949	5.76875480348587
FBgn0003447	19.0365784023234	10.8889341438344	22.7941297963195	12.5000500331529	64.0414380314168	65.7450734404088	66.0784641126563
FBgn0031150	590.133930472025	474.446416267069	446.764944007862	559.168904816373	1107.17793827392	1019.04863832634	1430.12675900963
FBgn0261284	16.0308028651144	17.1111822260254	21.2745211432315	21.6667533907984	113.304082670968	86.6639604441752	83.9091607779763
FBgn0025836	112.716582645336	91.7781592123182	103.333388409982	162.500650430988	40.6416818276299	49.3088050803066	43.0034448987128
FBgn0029896	814.064207994092	794.892192499909	679.26506793032	643.335908372936	133.009140526789	127.007528237153	149.46319263577
FBgn0027279	4041.26520977744	4013.35001301324	3744.31572120875	3769.18175333004	1660.15112435288	1695.92405351964	1702.30709928319
FBgn0030041	144.27722578603	146.22282993149	165.637343186588	72.5002901922868	19.7050578558205	13.4478559309927	22.5505869590811
FBgn0023549	266.512097632527	309.556842089005	302.402121964505	159.16730375548	103.451553743058	100.111816375168	76.042676955041
FBgn0052625	87.6684531685945	63.7780428424584	106.372605716158	71.6669535234099	217.987202530015	207.69466382311	296.304223997229
FBgn0040099	1498.37910529866	1123.11577883549	1167.05944557156	1177.504713123	290.649603373353	280.910768336292	473.562326140704
FBgn0032004	1103.62058474522	1112.22684469165	1236.9614436136	1605.83976092571	559.131016658908	506.535906734059	579.497641622899
FBgn0000406	398.766221269721	407.557249383515	551.617941070931	200.834137199323	115.767214902946	83.6755480150657	83.3847285231139
FBgn0032405	24.5471668872065	29.5556783904076	28.8725644086713	24.1667633974289	156.408896730576	137.466971739037	148.414328126046
FBgn0267992	684.815859894107	732.669711677998	475.637508416533	385.001541021109	141.63010333871	128.501734451708	194.564366553932
FBgn0031548	63.121286281388	68.4447289041017	72.9412153482223	108.333766953992	24.6313223197757	13.4478559309927	25.6971804882552
FBgn0259715	1127.16582645336	1342.45002373272	1490.73608867929	535.002141418944	350.996343056803	413.895121431665	244.385430765856
FBgn0053307	1797.95473384049	1130.89358893823	1414.7556560249	1225.00490324898	458.142595147828	412.40091521711	637.70962191262
FBgn0031327	473.910609699945	530.446649006788	574.412070867251	339.168024232882	1102.25167380996	1143.06775413438	1120.18729638598
FBgn0031547	274.527499065084	278.44560167805	401.176684415223	515.002061365899	120.693479366901	118.042290949825	156.280811948981
FBgn0031258	231.945678954624	205.334186712305	164.1177345335	180.834057146279	62.809871915428	65.7450734404088	99.1176961689845
FBgn0264437	47.0904834162736	23.3334303082165	28.8725644086713	65.0002601723951	118.230347134923	147.92641524092	503.454964667858
FBgn0051642	40.5779697523209	65.3336048630062	39.5098249802871	43.3335067815967	173.650822354419	204.706251394	173.587076359438
FBgn0001137	554.064624025517	566.224575479387	615.441504500626	730.002921936129	247.544789313746	221.142519754102	237.043379197783
FBgn0043364	2213.25272056486	1267.78304674643	1303.82422434947	1246.67165663978	601.004264602527	533.431618596044	841.713769054074
FBgn0267252	172.832093389515	132.22277174656	126.127518206301	155.833957079973	56.6520413354841	43.3319802220876	61.3585738188951
FBgn0031703	138.766637301147	140.000581849299	155.000082614972	84.1670035565628	34.483851247686	31.3783305056497	37.234690095227
FBgn0032638	154.797440166261	152.445078013681	155.000082614972	240.834297305412	50.4942107555402	62.7566610112993	73.9449479355916
FBgn0260011	25.0481294767413	29.5556783904076	44.068650939551	27.5001100729364	177.345520702385	185.281570604788	131.63249597045
FBgn0031322	502.966439892965	535.113335068432	626.078765072242	475.835237928687	268.481413285555	191.258395463007	153.134218419807
FBgn0283658	1508.39835708936	1879.1189208217	1791.61860199071	1738.34029127713	873.180376236048	853.19174851076	698.01933122179
FBgn0013688	7.51443884302238	1.55556202054777	1.51960865308797	8.3333666887686	3.69469834796635	0	144.743302342009
FBgn0013680	45.0866330581343	4.6666860616433	4.5588259592639	62.5002501657645	6.15783057994392	10.4594435018832	408.00829428291
